CodigoUC;HorarioInicial;HorarioFinal;TipoTurno;Capacidade;Sala;Dia
J301N2;08:00;10:00;T;100;1.01;Quinta-Feira
J301N2;09:45;11:45;TP;30;1.02;Segunda-Feira
J302N2;10:00;12:00;T;120;2.01;Terça-Feira
J302N2;11:45;13:45;PL;20;2.02;Quarta-Feira
J303N2;14:00;16:00;T;80;3.01;Sexta-Feira
J303N2;16:15;18:15;TP;25;3.02;Sexta-Feira
J304N2;09:00;11:00;T;90;4.01;Segunda-Feira
J304N2;11:15;13:15;PL;20;4.02;Sexta-Feira
J304N2;12:00;14:00;TP;50;2.03;Terça-Feira
J304N4;13:00;15:00;TP;50;5.06;Quarta-Feira
J304N3;17:00;19:00;PL;100;4.03;Sexta-Feira
J301N1;10:00;12:00;PL;100;1.04;Quinta-Feira
J304N3;08:00;10:00;PL;100;3.12;Terça-Feira
J302N1;10:00;12:00;T;100;4.09;Quinta-Feira
J304N3;10:00;12:00;PL;30;2.01;Segunda-Feira
J304N2;15:00;17:00;T;100;3.19;Sexta-Feira
J304N3;16:00;18:00;T;30;3.07;Sexta-Feira
J302N1;10:00;12:00;PL;30;4.05;Quinta-Feira
J304N3;14:00;16:00;TP;50;3.08;Quinta-Feira
J304N3;11:00;13:00;PL;50;2.12;Terça-Feira
J301N1;16:00;18:00;PL;50;3.08;Sexta-Feira
J301N1;16:00;18:00;PL;100;5.07;Terça-Feira
J304N4;10:00;12:00;PL;50;3.08;Quarta-Feira
J302N1;16:00;18:00;T;30;3.13;Segunda-Feira
J301N1;18:00;20:00;TP;50;2.07;Quarta-Feira
J302N1;10:00;12:00;T;100;4.08;Segunda-Feira
J305N2;08:00;10:00;TP;30;5.10;Terça-Feira
J302N1;09:00;11:00;TP;100;1.05;Quarta-Feira
J304N3;10:00;12:00;PL;50;2.15;Segunda-Feira
J305N2;13:00;15:00;T;100;3.20;Sexta-Feira
J301N1;15:00;17:00;T;100;5.13;Segunda-Feira
J304N3;11:00;13:00;TP;30;3.07;Sexta-Feira
J305N2;18:00;20:00;TP;100;4.03;Terça-Feira
J305N2;11:00;13:00;T;100;1.11;Terça-Feira
J304N2;11:00;13:00;T;100;1.16;Sexta-Feira
J301N1;17:00;19:00;T;50;5.03;Sexta-Feira
J304N3;10:00;12:00;TP;50;1.09;Sexta-Feira
J304N3;17:00;19:00;PL;50;3.19;Sexta-Feira
J305N3;10:00;12:00;TP;50;5.14;Quarta-Feira
J302N1;12:00;14:00;PL;30;5.02;Segunda-Feira
J304N3;08:00;10:00;T;30;3.06;Segunda-Feira
J305N3;09:00;11:00;TP;30;4.02;Segunda-Feira
J304N4;14:00;16:00;TP;100;1.05;Segunda-Feira
J301N1;12:00;14:00;TP;100;3.19;Terça-Feira
J305N3;18:00;20:00;PL;100;1.08;Sexta-Feira
J304N2;10:00;12:00;T;50;2.19;Segunda-Feira
J302N1;15:00;17:00;TP;100;3.14;Sexta-Feira
J304N4;17:00;19:00;T;100;2.06;Quarta-Feira
J304N4;09:00;11:00;PL;100;5.19;Quarta-Feira
J301N1;08:00;10:00;T;30;5.19;Quarta-Feira
J305N3;13:00;15:00;T;50;1.07;Quarta-Feira
J305N3;14:00;16:00;PL;30;5.05;Terça-Feira
J304N4;12:00;14:00;TP;100;1.08;Sexta-Feira
J302N1;13:00;15:00;PL;30;4.13;Segunda-Feira
J305N3;08:00;10:00;T;30;4.11;Quarta-Feira
J304N2;08:00;10:00;T;50;2.14;Sexta-Feira
J304N3;17:00;19:00;PL;100;4.18;Quarta-Feira
J305N3;15:00;17:00;PL;100;4.05;Quarta-Feira
J302N1;16:00;18:00;TP;100;4.13;Quinta-Feira
J301N1;16:00;18:00;T;50;1.03;Terça-Feira
J305N3;15:00;17:00;PL;50;3.03;Terça-Feira
J305N3;18:00;20:00;TP;100;2.18;Quinta-Feira
J302N1;17:00;19:00;T;100;1.11;Sexta-Feira
J304N2;18:00;20:00;T;30;5.16;Terça-Feira
J304N4;12:00;14:00;TP;30;2.13;Segunda-Feira
J302N1;12:00;14:00;TP;50;3.14;Segunda-Feira
